,Header,Review,Rating,Date
3301,Disneyland where a kid could be a kid,well my family and i went at the end of december and it was packed full of people we had to wait an hour or more to ride any of the rides disneyland was too crowded at this time of year couldn t enjoy it if your planning on taking a trip go on off peak seasons or your child will be fussy and crying like mine were we probably only rode rides out of the whole day ,4,2017-08-14
3302,Doesn't get much better,although the park gets very crowded around this time of year it is something you learn to get past you re in the happiest place on earth the long lines are great quality time for family and friends the park is always clean from the sidewalks to the bathrooms the food options are great disneyland is a true american icon if you have never been before learn how fastpass works it will make your day much easier and help with long waits space mountain is a very fun ride we also love splash mountain for cooling off pirates of the carribean is so fun and typically not a long wait we also really like indiana jones the ride the park is great for people of all ages they do a good job of providing and catering to every age group there are many great rides for younger kids and the park is very stroller friendly ,5,2017-08-12
3303,Busy and Dissapointing,had two days here on a day ticket and should have booked the other way around as the disney california adventure park experience was way better very busy food was over priced and the staff were disinterested to be honest ,3,2017-08-12
3304,Disneyland with three young kids,we have three children and and had the the most amazing trip to the california disneyland parks we loved it the disneyland cast are amazing and helpful the park itself is gorgeous and so fun we purchased a three day ticket so we did two days in disneyland and one day at california adventure park we hired two prams strollers which you can do once you enter the disney zone prior to entering either park or downtown disney it was us and well worth it all three kids managed to pile into the prams so no one ever got tired and managed to last until at least pm we took lots of breaks in the many shaded areas with lots of snacks available to buy the food inside the park is great the healthy options for kids is brilliant with fruit and milk juice available with most meals my girls are and and a perfect age for this trip where they met all the princesses and had a princess makeover my son is and we thought maybe a bit young but not at all he had a blast and was actually able to go on a great many rides when the girls were having their princess makeover we arranged for him to get knighted and be given a sword and shield he loved it they also had a jedi training school which was so fun for the kids you have to put your name down in tomorrowland and i recommend you do that when you first arrive also take advantage of the fastpass system where available this is available on some of the more popular rides that can have minute wait times you basically scan your park ticket at the special fastpass box near the ride and it will give you a time for example pm pm when you can return and basically walk straight onto the ride with maybe a min wait brilliant idea all in all a great trip ,5,2017-08-09
3305,Disney - Cali style,after doing orlando numerous times we decided we wanted to see where it all started so stayed in anaheim to visit the original park it was just as we expected smaller scale smaller castle but with many of the main attractions and favourite rides the adventure park was more of a seaside fairground theme but still had a few of the popular disney rides including soarin and toy story midway mania great disney vibe but not on the scale of the orlando experience ,4,2017-08-09
3306,The happiest place on Earth,nearly years have past since i had been to disneyland loved every second of our families visit being the th of july we were expecting long queues the park was busy but if you followed the fast pass system the waits were short great place for all ages ,5,2017-08-08
3307,Mr Toads Wild Ride,we stayed at disney grand california hotel and got into the park an hour early each day before the local pass holder crowds we actually rode the fantasyland rides two or more times before the park opened my fidgeting kids didn t have to wait minute or more to ride mr toads wild ride star tours and space mountain no problem minutes top worth every penny worth the stay we went back to the hotel for a late lunch and a pm swim too fyi that s a real life tinker bell flying in the night sky disney is magic ,5,2017-08-08
3308,Better than Magic Kingdom WDW,we are a big fan of everything disney if i had to compare wdw in florida to disneyland ride to ride anaheim is the winner pirates haunted mansion big thunder space mountain buzz astro and small world are all better plus anaheim has storybook land boats matterhorn and indiana jones in terms of food anaheim has a better selection of varied food choices monte cristo sandwiches at blue bayou need i say more if i did not have to fly hours to visit california as opposed to hours to visit florida i would be an annual guest at this classic park ,5,2017-08-06
3309,It is really magic,this was my first visit to any of the disney parks and must admit i was skeptical at first but it was a really magical experience everything is extremely well organized from transport from and to the parking lots the restaurants and of course the rides we used the recently introduced fast pass which allows for fast entry to attractions this works very good as we never waited more than minutes for a ride getting the maximum experience out of our day i was also surprised by the compactness of the park meaning you don t have to walk for miles to get from one attraction to the next lastly making diner reservations at your restaurant of choice also helps to get the most out of your day and the price quality of the restaurants are more than ok only price for bottles water in the park at for a small bottle is outrageous ,5,2017-08-05
3310,Can't wait to go back!,disneyland has been a life long tradition for our family we always love going people complain about the high ticket prices but monthly payments make it easier to keep enjoying our favorite theme park it s clean safe fun for all ages ,5,2017-08-02
3311,Never disappoints,came to the happiest place on earth and what can i say it was awesome kids had a blast parades were super fireworks were outstanding wish some of the other families and people that are there were a bit more considerate but that s not disney s fault ,5,2017-08-01
3312,Honeymoon adventure,disney was good but they don t do enough to make it a very special and easy experience they need to look at their fast pass system again you shouldn t have to constantly keep taking tickets out of your bag all day universal gave u a tiket round your neck instead and their fast pass really worked we completed universal in a morning disney we were there all day and only managed about six rides we queued for the majority of the day the place was absolutely packed we could hardly move lining up all day to do about rides just is not worth it never again will i return to disney california management need to go to universal studios to learn how to improve the experience eg in disney you had to buy drinks all day costing you a fortune in universal you buy one cup for dollars and get free refills all day ,3,2017-08-01
3313,Thank you Disney,we visited disneyland park on a surprise trip for our kids and continue to fall in love with the disney experience thank you for making the magic disney ,5,2017-08-01
3314,I Love Disneyland!,i m always happy when i m in disneyland this time was no exception it s fun seeing the park through my children s eyes as they discover the magic of set design imagination and engineering all combined lines weren t too long this year we got great use out of fast passes and we also felt like our kids were old enough to try the single rider experience to shorten a wait a time or two plus we made sure to enjoy old favorites like the tiki room that require very little waiting we re already daydreaming about our next opportunity to go to disneyland it may be far off but we ll try to go again i m sure ,5,2017-07-31
3315,The Original is Very Cool...,for the record i am a wdw junkie been times or more and it s an amazing place i just went i disneyland for the first time two weeks ago after being to both i m still a fan of wdw more than disneyland but there were some things i liked as good or more at disneyland it s a small world has an amazing front the ride was like new as well splash mountain was one person so a seat and we really got wet very cool several rides were down for multiple hours and that s always a bummer but in the end we still got to see pirates the haunted mansion and buzz lightyear i like seeing how the same and how different i did like the intimate feel for fantasmic a bit more about why someone likes one place better than the other the reason why one person likes the other more is not as much about the given park as the situation if you went to one and loved it especially many times it s your park i know wdw like my own house at disneyland i needed a map if your family went there for vacations it s family memories we ve been to wdw a lot when the kids were young if you are a walt disney junkie you might like the land better as it was the first one and it was very cool being at the one he was at and if you went to the land you might like the smaller space better as its can be more intimate but if you went to wdw you might like the space much better and there are more outside the park activities but still within the property so it s more about the memories than anything both parks have a lot of similar rides but they are also very different in the end it s about comparing apples and oranges both are fruit and each is good just not the same ,5,2017-07-31
3316,Timeless Experience!,i would like to say right from the beginning i am a huge disney fan so this review may seem biased however this review will be as honest as possible from a traditional consumer i visited this park with my girlfriend on a wednesday we experienced a large crowd as expected however the saving grace of our trip was purchasing the newly added maxpass which is part of the disneyland app this costs an additional per park ticket what this allows you to do is get fast passes from your phone directly without going to the ride to receive them we were able to get one as soon as we walked in and then depending on how long from when our fastpass was available we could get them as soon as mins to an hour and half of all the rides we did which was all and some doubles we only waited in regular lines once for fastpass rides twice which was early in the day we had a magical experience but budget accordingly for food as that was quite the surprise to us who don t get to visit often in additional all the photos your take can get added to your phone thanks to the maxpass option as well and gets uploaded directly to the disneyland app ,5,2017-07-29
3317,Can't ever say anything bad about Disneyland,disneyland was great and we went with our young kids the writer switch option is great on big rides so you don t have to stand in line with your kids the whole time we went on a saturday in the summertime in the lines weren t even that bad which was great no complaints whatsoever ,5,2017-07-26
3318,Crowds,just to crowded to have a relaxing trip it seems like you have to hustle everywhere just to get to the next ride or attraction the light show and parade send the park into overload ,3,2017-07-24
3319,My family's favorite place,i ve been to disneyland over times in my life i am it s a once a year at minimum destination for us and we always have a great time we are so excited for galaxy s edge can t wait to come back and see it and to ride the updated railroad my favorite ride is big thunder mountain and the renovation is terrific disneyland offers the best fireworks displays you will ever see and the parades are always fun as well another thing we love about disneyland is the constant high quality of food and new menu items all the time ,5,2017-07-22
3320,A great day - if well planned,love love disneyland but do your homework there are tons of blogs and websites to learn how best to navigate the park for example be there slightly before they open and head straight to the first two rides on your list that will have long lines think space mountain and indiana jones save the rides where lines move fast like pirates and haunted mansion for later bring a bag with water or snacks for little ones prices in the park are a little crazy you can find a list of all of the places in the park that have hidden mickeys it makes for a fun search and find game if you head to customer relations first thing and ask for a reservation at blue bayou you might get a seat at the only public wait served restaurant ,5,2017-07-19
3321,Heaven and Hell,heaven the original disney rides like teacups and small world whimsical and sweet imagination true artistry from the mind of walt disney hokey to some people but enchanting for younger children and adults too so neat to see kids eyes light up with the sheer silliness of it all the character actors princesses and heroes these disney employees really play the part and take pics with lines of children and still manage to make happy experiences for kids and families prepare your child to wait patiently bring an autograph book and pen you don t have to buy there bring from home the night parade big floats with thousands of lights music and characters disney takes the basic parade idea and multiplies it by a hundred however this is the most uncomfortably crowded time that we experienced there fireworks every night around tip the fireworks are pretty substantial you can see them from blocks away if you don t want to be packed like sardines you can stand or sit outside the park in the big plaza just outside the admission gates near downtown disney and see them perfectly fine the greenery and landscaping yes a detail but lovely nonetheless the topiaries in fantasyland trees shaped like an elephant a horse elephant so charming the greenery in bugs world long lush greenery representing the point of view of a bug the jungle greenery along the jungle cruise a lot of areas in disneyland are very open and sun baked but there are a few green lush beautifully maintained greenscapes that are pretty california adventure park the partner park to disneyland loved the art deco theme on the main street the frozen show at the theatre was great and air conditioned this park was about less crowded than disneyland and had tons of great rides plus all the disney characters make appearances there as well hell a lot of walking plus more walking the july mid day heat is not the best time for families with children to walk for hours plan your excursion duck into the little movie theatres restaurants and shops for regular doses of air conditioning also plan rest breaks in shady areas with kids take a minute break every minutes or so sit drink some water and re charge crowds sometimes dangerous levels evening around pm was intensely crowded they dim the lights in the park to prepare for the parade not a safe feeling moving through a crowd with a stroller in the dark staff help direct with lighted batons but still an uncomfortable experience ride line ups what to add on this topic they re a drag fastpasses are good and bad you have to come back at a designated time often hours later you then have to plan your schedule around this one ride you cannot get fast passes for multiple rides just one ride at a time we found that for some rides it was easier to not bother with the fastpass at all sometimes just walking back to a ride area minutes later will surprise you with a shorter line ear piercing noise on some rides shattering people s eardrums does not add to the thrill of the experience this is not really an issue with the little kids rides but some of the older kids rides have noise levels that are ridiculously high ,3,2017-07-18
3322,Family,first trip to the land family fun on the hottest days not a fan of the fast pass method using your park ticket to get fast pass and then again twice in the fast pass entrance line such a pain taking it in and out with possibility of damage loss disneyland uses cardstock tickets not plastic or bands for their hoppers we had the true disney experience without the crowds and lines of disney world def recommend going on a monday wednesday we had great luck getting on all the rides before dinner i used the unofficial guide book with day plans in the back of book leaving us time to explore our hotel pool and ca adventure park in the evening we stayed off park but the anaheim off site hotels are closer than almost all onsite hotels in disney world i would return ,5,2017-07-17
3323,Crowded by Fun,we knew it would be crowded but was the only time with grandkids out of school couldn t believe the number of strollers and adult scooters several things were closed when we were there for the first week in june don t know if this was just our luck or the norm all the smaller grandkids eventually rode space mountain the oldest one times get there early and don t overlook fast pass it s definitely worth using note once you get a fast pass for one ride you can t get another one on that same ticket until about minutes before the first one comes due most food actually in the park is very expensive and so so in quality opt for minimum lunch and eat dinner outside park food in downtown disney is still expensive but generally much better quality ,4,2017-07-15
3324,Disneyland is for Adults as well as Children,when you wish upon a star there s no difference who you are age only makes disney land more wonderous order of must see attractions rides pirates of the caribbean jungle cruise peter pan it s a small world story book canal boats the haunted mansion mr toad s wild ride the matterhorn bobsled the grand parade the nightly fireworks and the last and most rewarding a personal photo with mickey mouse a must and don t forget minney as well all these rides are marvellous and elderly person friendly ,5,2017-07-13
3325,Love it,every time i come here i have an awesome time but it saddens me when i leave but i always know that i will come back even when i die i will live at the park as a ghost in the haunted mansion lol,5,2017-07-12
3326,Disney has lost its magic.,same as my review on ca adventure park too hot with little shade for long lines i advise to go thru singles line if they offer it or buy vip tickets that put you to head of line also excellent idea for universal studios ,4,2017-07-12
3327,Must do/must go to,ok so lets start with an admission i was probably not that keen to go to disneyland it was more an appeasing activity than a must do activity so now the confession i really enjoyed it it was far better than i could every have imagined the best bits well i am a bit traditional so i really loved fantasyland and frontierland new orleans square is a great place to watch the fireworks there is a visual representation plus you can see the fireworks seriously very impressive the parade at pm was another highlight our first day was th july omg the red white blue patriotism was everywhere vacation season is probably not the most optimal time to go but it was an amazing experience would i go again at a blink was it fun yes one of the more enjoyable things to do is to watch the some of the original animations the ones that started it all ,5,2017-07-12
3328,Great fun if you are thoroughly prepared,the happiest place on earth well that depends on your approach my adult daughter and i loved it we had a multiday pass with magic morning allowing us admission an hour before general park opening on one morning the key here was to maximise that hour by heading to the most popular ride which didn t have a fast pass option immediately peter pan fast pass is the way to go for those rides that allow them not as many in this park as in california adventure land and the even rarer single rider option when the park officially opened an hour later we headed to the pirates of the caribbean and walked straight in with a boat to ourselves we then checked out the other rides in frontierland while everyone else was still queuing in fantasyland by about am the park is crowded during the summer so unless you are really utilising the fast pass you need to be prepared to wait getting an early spot for the various parades and fireworks shows is also a good idea there are more food options in disneyland some of which are actually okay and the place is clean and cast members patient and friendly the only other downside is the number of baby strollers sure it s a family place but i wouldn t have dreamed of bringing under s here as it s crowded noisy and they really won t remember it anyway ,5,2017-07-11
3329,"Good experience, but expensive to eat/drink there",you are allowed to bring in your own food drinks worth it to do so and rent a locker definitely take advantage of the free fastpass ,4,2017-07-11
3330,Disappointing customer service,we had cast members rude to us over simple questions more than time per day rides were inefficiently managed with or more seats in a row going unfilled on rides despite lines for rides cast members spending time hanging out with each other instead of paying attention to customers and their job very few employees had that disney upbeat spirit we ve grown to love at disney world very disappointing experience i like grumpy but not in staff members just seemed like it was hard to find a cast member that wanted to be there disney world in florida is the exact opposite in customer service it s the happiest place on earth at disney world and a very average place at disneyland ,2,2017-07-10
3331,Race weekend,we went for the disneyland half and enjoyed it immensely the parks are so much more manageable comparing to the disney world and there is still so much to do or see the night shows are worth every second make sure to get your fast passes early for cars and toy story ,5,2017-07-10
3332,Disneyland Family Vacation,disneyland is still magical our family visited both parks with park hopper passes in days we were able to do all the attractions that we wanted the fast passes always help for the most popular rides downtown disney is connected with several restaurants ,5,2017-07-09
3333,"Really, really overpriced, even when it's not crazy busy",had we gone when everyone was out of school would have likely been disappointed overall the ride waits weren t horrible if you knew how to use fastpasses they were changing the system while we were there so make sure you read up on what s new if you haven t been in a while the cost is inordinate from the entrance to the food to the junk aka souvenirs glad my son understands prices and budgets the one quote on this topic that will stick with me was from some poor dad i just paid for small bottles of water and for churos buy water at walmart bring your refillable and if churos are something that need to be tried costco sells em for a buck ,3,2017-07-08
3334,Maintenance and service have gone downhill, the happiest place on earth there is still a lot of magic in the park but if you have been a visitor over the years you will see how the park has declined paint is not touched up as it once was trash is strewn about the streets and the once legendary service is now easily outclassed by the service at universal character costumes show signs of wear cast members cannot answer basic questions and broken animatronics can be seen in the tiki room and it s a small world the food is still on point and is a must but overall if you want an amazing disney experience i suggest heading to florida ,3,2017-07-05
3335,Does Disneyland even need a review?,the happiest place on earth stars just go it was the best day it s so much fun make good use of the fast pass option for certain rides we did it and it meant we literally never waited more than mins for a ride also make sure you bring a backpack of snacks and drinks if you re not prepared to pay the high prices inside the park but just for a gauge we were there for hours and all i ended up buying to eat was kabobs from bengal bbq and a side of fries and funnel cake from critter country which altogether was around usd we read on the website that backpacks weren t allowed so we left our bag of snacks at the hostel but everyone had backpacks even cooler bags buy the trade off is that you have to carry stuff around all day which was a good thing for us as we only had small cross body bags that were easy to take on rides there is water stations everywhere so it s easy to fill up bottles if you bring ones with you if it s your first time or it s your birthday or you re celebrating something special head to the information desks at the start of the park they re on the left side when you walk in after you ve scanned your ticket they will give you free badges to wear for the day i got a birthday one and most of the staff and some patrons shouted me a happy birthday throughout the day we went on pretty much all of the rides the matterhorn bobsled and indiana jones were awesome pirates of the caribbean had a really cool story and was quite realistic splash mountain was awesome just go you can t have a bad time at disneyland ,5,2017-07-04
3336,Long Queues,disneyland is fabulous long long queues for the rides though no shelter provided either when you are standing in these queues and the sun is blazing,3,2017-07-03
3337,Crowds and more crowds,its a stretch to give a star review here is more suited you have read all the reviews and already know about disney it bothers me to write anything but a positive review but things have changed here what disney always offered was magic something always pulled at your heart and made you want to come back not anymore disney pulls at your wallet everything is crazy expensive from the gate to the snacks my biggest complaint is the massive amounts of people coming through the doors its like an ant hill of people with them climbing over each other pushing and shoving lines galore and standing and waiting they speed up the rides so you may stand over an hour waiting for a minute ride the little things were not there this time garbage visible workers cutting you off and complaining about their jobs stuff that was unheard of before the outweighs the magic they will take cash and crowds until they start seeing a decline in attendance ,4,2017-06-30
3338,Loved it!,writing a short review of disneyland is like trying to move an entire desert using only a spoon overall it s a magical place that you should see once in your lifetime yes there is the old disneyland versus disneyworld debate the former is the original the latter is bigger but i say why settle on one scoop of ice cream when you can have two try them both each offers unique experiences a few tips to make your experience better first expect lines they are a reality use the fast past system when available to save yourself some grief second take breaks the happiest place on earth is usually where families lose it because they re stressing or arguing third plan ahead make a list of must sees and get to them first fourth arrive early in the day and rush to the back of the park the crowds are like a wave crashing into the attractions so go where they aren t and work backwards fifth have fun be a kid splash in the water eat an ice cream cone and get chocolate on your face smile laugh enjoy oh and when it s time to go just be sure to stop on main street and look at the firehouse the second floor was walt s apartment and the lamp glowing dimly in the window was lit whenever he was in the park it has been burning ever since his death in to symbolize that he will always be there in disneyland so give ol walt a nod and a wink on your way out ,5,2017-06-25
3339,Always get to the park early,you always have to time your visit to get the most value get to the park right when it opens and you will get to all your favorite rides but you can also pay for lots of extras that can get you better views of fireworks parades and soon the return of fantasmic be sure to use the fast pass system and ask for advice from cast members and friendly guests that are annual pass holders ap s for short cause we are the people who really know the park well ,5,2017-06-24
3340,"Looong queues, some rides out of service!",visited disneyland after several years not much was new and several rides were out of service huge disappointment ,3,2017-06-24
3341,Night time at the park,take your children to the park after pm we were able to ride all the rides in a short amount of time ,5,2017-06-21
3342,LOVE IT,just pricey but truly a blessing to be here at my age it is still magic have fun and make memories ,5,2017-06-20
3343,Awesome Time!,we come to disneyland once a year in october and this was a surprise for our daughter s th birthday there were women only on our trip no kids we had a blast used fast pass when we wanted to ride something with big lines worked out great take a break and see some shows my only bad experience was when i went to city hall as i do every year to obtain my handicap sticker the young lady said that i didn t need one due to my brace well when my leg got too swollen to wear the brace i was unable to get in the handicap line yes i always carried my dmv paperwork this was our only problem lines were short too ,5,2017-06-20
3344,2nd visit,let me start by stating i have been to wdw in florida about times this is my nd trip to disneyland in cali there really is no comparison but a really fun time can still be had here i just get a little off when i see the cast members outside their working area in uniform thanks to the utilidors that doesn t happen in florida it is still disney with that disney magic the sights and sounds can be found nowhere else but disney service is excellent prices are also disney which means a quick lunch is going to cost about soft drinks will cost about live a little and splurge it s disney you can have as much fun as you can pack into a day if you plan around the crowds ,4,2017-06-14
3345,Fun for everyone,tip there are fast pass machines they re free at some of the rides they actually work you can get one pass and then when the first avaliable time you can ride the ride on your pass say you can ride the ride at pm comes you are able to get another pass for another ride i m not sure all the rides have this option but when avaliable totally take advantage tip don t listen to year olds i waited in like hours for the matterhorn it was not worth the wait that was my biggest disney mistake tip don t eat at the food court in tomorrowland the burger was dry and terrible nothing redeeming about it should have waited and gone somewhere else also the churro s don t have dipping sauce like chocolate or anything tip just have fun it was a tuesday when i went and it was super crowded lot of people traffic jams and long lines for everything i was a little surprised though going to these places as a child you don t notice the looks on the faces of the cast members operating the rides and directing people it s either utter disgust with people or absolute boredom ,4,2017-06-14
3346,Magical as always!!,my son and i took this trip alone he is a teenager and still loves everything disney the parks are always amazing and we have an awesome time there i would suggest that you take snacks and water for sure they have water fill stations so you can take a refillable water bottle i would also highly suggest that you take at least one break during the day to rest and eat a meal outside of the park unless you are okay with spending big bucks on a meal the food you will find at disneyland is not that great compared to the surrounding restaurants outside of the park lastly take advantage of fastpasses and magic morning because the park gets so crowded that you will spend most of your day just waiting in line and will probably miss some of the best rides if you don t ,5,2017-06-11
3347,Magical experience for all ages,both me and my husband went to disney on may we booked the tickets online through a discount scheme got there around am it wasn t very crowded at that time from entrance to park has a long distance which is connected by continuous trams you can walk if you like but i think it s better to save your energy for park activities we were contemplating whether to get fast pass but then we didn t so this is the important tip your regular ticket entitles you for a fast pass for park s busiest attractions not all attractions have fast pass option so if the attraction is available with fast pass go to the person issuing them and get your fast pass for that particular ride the printed fast pass will tell you when to return back to the ride to utilize it so you can plan your time and use that time for some other activity the day we went to the park it was open till mid night and it started getting crowded after am we started from tomorrowland and it took us so long to finish it since it had many busy rides but some other sections didn t have so many rides big thunder mountain railroad pirates of the caribbean haunted mansion splash mountain star wars were notable rides and many rides in fantasyland are meant for kids but you can do them if you like just to bring back childhood memories unfortunately we couldn t do indiana jones finding nemo submarine ride had a very long queue but it was just average for me it s a small world and a jungle boat cruise are also ok however there s one negative about splash mountain i think the log we sit isn t safe that way it doesn t have belts and you just need to hang on to the seat in front of you the ride has almost degree ft fall and if you are not properly seated what if you just throw yourself off the log we did it but i seriously think park administration should introduce seat belts for safety everywhere in the park you ll find plenty of restaurants to eat the theme of restaurant will be aligned to the park section it s located i found great vegetarian food and it was great you can find out in the brochure when the parade is taking place we saw it twice but the electric parade in the dark was magical even the castle is lit up unfortunately they cancelled fire works due to wind once you re done for the day the tram will bring you back to the entrance area disney land park has another adjoining disney california adventure park but you need a separate day for that so we didn t have time overall this is a must visit for kids or adults coming to la ,5,2017-06-10
3348,you already know its great,surprised at how many rides we did on a saturday we got there a lil after which is when gates opened went directly to tomorrow land and by o clock we were able to do the star wars ride space mountain fast pass buzz lightyear x the car ride and the nemo submarine ride after it got more busy but it would work out pretty good to get a fast pass then go stand in line for minutes on a different ride and ride it use the fast pass and repeat the sequence we did over rides during the hours we were there it was great ,5,2017-06-08
3349,Disneyland = crowds!,really pick your visiting time the crowds can be ludicrous our first day in this dream come true happened to coincide with the locals last weekend to use their annual passes nightmare we left early and returned the next day when crowds weren t as bad but still far more than should be in one park at a time attention to detail is mesmerising waltz dream is amazing the walt tribute hosted by steve martin brought a tear princesses were just beautiful and so engaging other staff were obviously overworked disneyland is not the happiest place on earth it s the most crowded which is a real shame despite the long hours the park is open despite this we truly loved every minute at universal the st visit badges mean something unfortunately at disneyland they re not even acknowledged let alone mean anything ,5,2017-06-08
3350,disappointing,we were visiting from out of state several rides were closed it would have been nice to know this ahead of time very crowded it also would have been nice to have the website mention grad nite had the mentioned it along with the closed rides we would have scheduled our visit at a different time there were several issues with fast passes as well ,3,2017-06-08
3351,Poor value.,we found this place to be a real disappointment it is disney s oldest park and is clearly showing its age not that many rides with big queues for them all lots of shops selling overpriced disney merchandise it seems a shame that they want to fleece you in the shops when the entry fee is so expensive having said that it is very popular with lots of locals with many people clearly enjoying repeat visits and happy to pay for disney clothes mouse ears etc etc it just wasn t our cup of tea we are british and probably don t have the same emotional attachment to disney that some americans do ,2,2017-06-02
3352,A dream 😍,ive gone to this park a couple of times the last i went with my brother and we both were in love with this place the food the staff with every single person in this place that made is have such an amazing vacations ive been there three times and im still haven t had enough activities for everybody from children to adults ,5,2017-06-02
3353,What a ride!,i went to disneyland as a child but did not remember a lot especially since so much has changed i now live in florida and go to disney world quite often so between these two facts i found it interesting going again the first thing is that because of location it is so much more crowded to enter in the morning but that isn t the parks fault the second thing you notice is that everything is so much more closer together and the castle is so much more tiny compared to the magic kingdom in orlando the third thing is something i noticed as a fault of the company it seems that equipment and rides aren t kept up as well or updated to latest tech like it is in orland its like the company has let the original park suffer for the sake of the larger park on the cool and interesting side it was very interesting to go through the same rides and notice what was different between the two parks i actually found that i preferred some of the disneyland versions over the orlando ones also on the positive side the fun and service is just as attention to detail in all the parks ,5,2017-05-31
3354,Disappointing visit on New Year's Eve,we visited here on new year s eve because we were in town for a short visit for the rose bowl we were greated by extremely unorganized security lines and very big crowds almost like they were ready for it which is surprising for disney some lines checked bags some had metal detectors some did nothing but there was no organization around it the park itself had long lines at most attractions even though it was raining but most moved pretty quickly and the time estimates were helpful the fireworks which we watched from our hotel room at the hilton were excellent but we re glad we didn t stay with the crowds to watch them i can t believe the prices they charge for entrance fees and food ,3,2017-05-28
3355,Way too busy!!!!,we went on friday may and it was absolute crap crowds were over the top we had to compete with grads and the locals that had only till the may to use their discounted entry paid a huge amount of money to stand in lines and with a who is autistic and yr old this is not magical we travelled all the way from australia to fight crowds worst experience of our lives i felt terrible complaining to them but i had to when you spend the previous mths hyping your kids and husband up to go and spending the amount of a small car to go here you expect more we come from a small city in qld and it felt like our whole population was there we found out later that it was we tried again on tuesday may and weds may and these days were still as crowded even locals were saying it was like terror land our year old said it is definitely not magical will not be going back anytime soon ,2,2017-05-28
3356,Bad mood Mickey Mouse,on my family visited disneyland unfortunately we had some issues early in the morning we went to see mickey mouse house and met him as fantasia wizard when my wife tried to hold him to take a picture mickey move out the hand later in the star tour i was carrying my yr old kid and a crew woman said something i didn t hear and she started screaming to me and when i told her to calm she just turn and walked in addition we didn t see many characters donald and daisy never appear finally the light parade possibly was the simplest and poorest i ve had seen maybe because it was monday,4,2017-05-25
3357,Second dissapointing experience at Disneyland,the price is too high for really a lot of waiting around on our recent visit my sister and i had to wait for hours because of power outages i m not talking about rides that were planned to be closed i m complaining about the fact that pirates big thunder the matterhorn and haunted mansion were all not working pretty much all at the same time this was tuesday may rd basically there were major problems from around noon pm this along with planned ride closures no indiana jones no tram creates a situation in which i ve payed a lot of money to be walking around a park with a ton of people with nothing to really do restaurants get super full and people are asked to be super patient it feels like i should be getting paid instead of the other way around ,3,2017-05-24
3358,Long lineups,we were surprised at the amount of closures and crazy lineups monday to thursday was not too crazy but the weekend is nuts average hours per ride pirates of the caribbean was over hours closures on and off throughout the day was splash mountain and hyperspace mountain make sure to get day passes if you want to get on all the rides ,3,2017-05-22
3359,Revisiting after many years,took advantage of the day pass special offered ending in may haven t been there since my grown children were young the amazing disney imagination is still there although many changes have occurred i spent day at disneyland and days at disney california park miss the sky tram people mover over time changes are inevitable with new ideas appreciate all that the park offers plus the many wonderful memories i have when i came as a kid downtown disney and the california park replace the massive parking lot liked the parking lot tram to get us to downtown which is the entry way to the parks i m so glad walt created this it s a work of love it will continue to grow as long as their is imagination left in the world the whole thing started with a dream a mouse will come back hint use phone app to check on ride wait times use fast track pass or single rider lane for very popular rides ,5,2017-05-22
3360,Magic place!,one of the best places in california you will really enjoy it the shows and attractions are super will back here again ,5,2017-05-17
3361,Truly a magical place,there is so much to see and do and the fast pass option is fantastic the original and my sentimental favorite the parades are a must and my advise is to find a position early and stick with it fireworks are incredible and another must see peter pan ride is one of the most popular rides but doesn t have fast pass so the best option is to go there first thing or during a parade or fireworks with the buzz lightyear ride where you shoot your lazer at certain targets don t forget to email the photo that s taken during the ride you ll find this after you get off the ride but before you enter the shop if you have small children who love star wars then sign up for the jedi training as they will learn to battle the dark side while you can watch and end at tomorrowland terrace i could go on and on but you ll soon discover this for yourself make sure you have more than one day as there is so much to see and do ,5,2017-05-17
3362,Theft report at the Disneyland resort,got our stroller stolen today by grizzly river run headed over to file a report and then with anaheim pd next disneyland security won t do anything about the situation if you need you can file a claim online with anahein pd alsp there are officers just outside downtown disney by the starbucks ,1,2017-05-14
3363,Theme Park!!,what a great experience the people very friendly and some pretty good food available as you would expect it can be a bit pricey but i think overall it was worth it ,5,2017-05-13
3364,From the moment you enter,every second inside the park had something new to see be it a shop tucked into a corner a new restaurant that you hadn t seen the day prior a mid day parade or a marching band the whole time there was something entertaining occuring great time,5,2017-05-13
