,Header,Review,Posted Date,Rating
1896,My First Disney Ever!,This was the first time I’ve ever been to any Disney park and I can’t wait to go back! The only thing I noticed was the characters that walked around seemed to avoid American children. I tried to get a picture with my girls and they just walked away.,"Written January 3, 2019",5.0 of 5 bubbles
1897,Always merry and lively,Still the happiest place on earth. But always with lots of visitors so expect long lines and be patient. Or make use of the fast pass.,"Written January 3, 2019",4.0 of 5 bubbles
1898,A very special people are here:),This is the best Disneyland I have ever visited! The shows and the parades are superior. They include a lot of characters. A unique point in Disneyland is that you can inside the castle through Cinderella’s Fairy Tale Hall. It showcases Cinderella’s story. And I forgot my iphone x inside the toilet but luckily one of the disney staff return back to me.,"Written January 2, 2019",5.0 of 5 bubbles
1899,Disneyland one day ticket,"Still fun and enjoyable. Went gefiele Christmas. One special anniversary parade in the day, one Christmas special parade in the day and one night parade as well as the fireworks. Thrill rides for adults would be splash mountain, space mountain, big thunder. Disneyland more kids friendly and if you are into rides then Disney sea have more to offer. Do try their food, it’s good and price reasonable considering it to be in a theme park.","Written December 30, 2018",4.0 of 5 bubbles
1900,A place that lets you open your wallet with a smile!,"Childhood dream to visit Disneyland!

We went on a Sun and the crowd wasn't as crazy as what we had thought. Crowds are mostly locals, surprising not many tourists on a Sun.
A place that makes dream comes true! A pity that we didn't have time to take photo with any of the characters. Kind of sad thinking about it now. But we actually conquer quite a number of rides. The queue for the rides are quite manageable.

All I could say was one day here is definitely not enough. Try to plan ahead by getting the fast pass to some of the rides as well as the lottery chance for the performance. F&B queue are definitely long and so we had to settle on something quick like a Mickey hand-shaped bun / giant turkey drumstick / snacking on popcorn from the Willy design bucket. Best ride which I enjoyed was definitely the roller coaster one.

Basically a place that lets me open my wallet with a smile!","Written December 29, 2018",5.0 of 5 bubbles
1901,Where DREAMS come true! A must go!,"Tokyo Disney is a theme park entirely based on the films produced by Walt Disney!

Opened in 1983, the Japanese park had the privilege of being the first outside the United States.
Today it is already the third most visited park in the world.

In Japan there are two parks side by side: Tokyo Disney and Tokyo DisneySea!
The first was done in the mold of Disneyland in California and the Magic Kingdom in Florida.

Disney is divided into 7 worlds or theme lands.
It goes from the western / western old style to the extreme future with Star Wars.

From the drinking fountains, trash bins and warning signs.
In a few minutes you will be totally immersed in the experience and surely you will spend a day that you will completely forget about the real world!","Written December 28, 2018",5.0 of 5 bubbles
1902,Must visit,When you go to tokyo for a vacation then you shouldn't miss disneyland especially if you have children. Staff in disney were one of the best accomodating to visitors. The parade was breathtaking and also the fireworks. I love it so much despite the cold weather.,"Written December 28, 2018",5.0 of 5 bubbles
1903,Busy Day,"Visited on Dec 18, there were lots of people even though it was a weekday. Make sure to get a fast pass at the Monsters Inc. ride and Space Mountain or else you'll have to wait for 90 mins. Lines in most rides are very long (60-90 min wait time) so Fast Pass and Single Rider are your best friends, make sure to make good use of them so you can enjoy all the rides in the park.

Thunder Mountain Railroad is way better than Disneyland Hollywood. It's my favorite Disney ride ever and the one in Tokyo is at par with Hong Kong's, in my opinion. Classic rides such as Splash Mountain, Pirates of the Caribbean, Haunted Mansion, Peter Pan, It's A Small World are a must. You can ride Jungle Cruise at night for a different feel. Star Tours have zero line so ride it anytime.

They check the bags upon entry but didn't say anything when they saw the snacks we brought. Bring a water bottle too so you can refill them in the park.","Written December 28, 2018",5.0 of 5 bubbles
1904,The kids love it,"We managed to get into the rides even though there is a Q. Being first timer there, we didn’t do any homework nor bothered how express pass works, we managed to get on many rides with the kids.
Weather is cold so do bring enough to keep warm.","Written December 27, 2018",5.0 of 5 bubbles
1905,Better for little ones.,"It rained almost the entire day which made waiting in long lines quite unpleasant. The long queues were everywhere. Can't believe even with Fast Pass, we waited like 5 hrs for a 3 min ride! I'm thinking it's the last theme park for me. Some of the rides were very good, like the Pirates of the Carribean and the classic It's a Small World. Would have gone for more rounds had it not been the long queues everywhere.","Written December 25, 2018",4.0 of 5 bubbles
1906,Another beauty,"A fabulous Disneyland.
Busy but that’s Tokyo.
Food prices were reasonable.
Easy to get to from Tokyo.
Would recommend","Written December 23, 2018",5.0 of 5 bubbles
1907,Fun fun fun,"Tokyo Disneyland is a wonderful place. Crowded but if you do your research and strategy, choose the rides and use FastPass, you will enjoy the day. Go early 30-60 mins before the park open to queue. We manage to get 4 FastPass and did most of the rides by 5pm even when it’s very crowded. Bring your own food and don’t waste time queuing at restaurant. Can eat in the park. Even churros stand has a queue, but we queued for that as it’s not such a long wait. There are water cooler to refill water. Definitely a must if you enjoy Disney.","Written December 22, 2018",5.0 of 5 bubbles
1908,Simply Fantastic,This has to be 1 of the best Disneys. Immaculate Service all round and the attention to details is just amazing. The energy level displayed by all staff is unbelievable. Yes it is crowded but it is organised chaos. Use the Fast Pass! It is there for a reason. Stay for the Parade n just enjoy the atmosphere.,"Written December 20, 2018",5.0 of 5 bubbles
1909,The happiest place on earth,"To skip the line on the entry gate, its highly recomended for you to purchase the ticket in advance. And make sure to keep the ticket since you will need that to get the FASTPASS.

First, once you enter the park, just go directly to the Fastpass machine as soon as possible to get the ticket for the favourite rides. after you collect the Fastpass ticket, then you can enjoy the other rides that do not provide the Fastpass ticket.
This is how you skip the waiting line and enjoy the park as much as possible.

If you do not into some parades, just skip it as well, since it will takes about 1 hour (or more) for you to wait and keep the seat on the street. You really need to manage your time well spent to maximize all the rides in Tokyo Disneyland. Considering that in the regular time (weekdays and not peak season) the park itself can be very very crowded.

Do some research before visit the park, you can browse the Tokyo Disneyland official website to choose which rides that you wish to play include the park maps.

have fun!!","Written December 13, 2018",5.0 of 5 bubbles
1910,lovely place!,"Visited disnyeland during the rest of winther is the best choice i had, because i dont have to worry about sweating all day long💚","Written December 12, 2018",5.0 of 5 bubbles
1911,Tokyo,"The happiest place to be. So many things to do like the rides, parades, and attractions. Food is below average and expensive. So many theme areas. You cannot ride all the roller coasters in one day. It takes 30 minutes to wait for each ride. There were 3-4 parades. The best was the Electrical Light Parade in the evening. So many Japanese tourists even if it was a weekday and drizzling.","Written December 12, 2018",4.0 of 5 bubbles
1912,Happiest Place in the World,"Disney Tokyo lived up to my families expectations and probably exceeded them. We arrived at the park at 0825 on a Tuesday and already lines were lengthening for the 0900 opening. We already had our entrance tickets so it didn't take too long to enter the park once that gates opened.
As advised we headed straight for the fast pass for the Pooh ride. At that time there was already a long line waiting to get a fast pass.
We got other fast passes during the day but unfortunately several clashed with the parades.
We ate at Tomorrowland dinner the foud was basic but reasonably priced. By being selective we were able to complete 15 rides in the day waiting no more than 20 minutes for any ride. We took in two parades the best being the evening Electric Parade which was spectacular. You need to claim a good seating spot at least an hour before the parade commences.
We started our adventure at 0900 and left the park at 2230. Both the 11-year-old and the 18-year-old stated that it was the happiest day of their lives and that says it all.","Written December 9, 2018",5.0 of 5 bubbles
1913,Smiles all round!,Disneyland will have you smiling all day no matter what age you are. The Mickey Mouse shaped food is delicious. The Disney castle and the different themed areas are amazing to look at and take photos of. The only downside is lining up for rides which can take over an hour because the park is always busy. I was there during Halloween and the whole park had pumpkins and other decor which looked amazing.,"Written December 5, 2018",5.0 of 5 bubbles
1914,"It’s Not The Best Park At Tokyo Disney Resort, But It’s Very Good","If you had one day at the Tokyo Disney Resort, I wouldn’t suggest going to this park. Instead I would recommend going to Disneysea instead, it’s a much better park. Having said that Tokyo Disneyland is a very good Disney park. 90% of the park is great and really fun. The 10% that doesn’t really work is Adventure Land.

Adventure land is a mishmash or random classic Disney attractions smashed together with a very vague theme. Many of the rides are fine, but how they connect to each other doesn’t make any sense at all. The railroad, also found at Adventure Land, is one of the most disappointing trains in all of the castle parks. The main difference is that the train doesn’t stop anywhere else except the Adventure Land station. So while it’s a fun ride, it lacks the usability of the trains at other parks.

When we visited there was a lot of construction going on, but other than a huge wall connecting Toon Town (our favourite land) and Tomorrow Land it was fairly unobtrusive.","Written November 25, 2018",5.0 of 5 bubbles
1915,Nice place to be in,"A kids paradise, my wife and kids enjoyed it a lot. Rides were fun, place was spacious and they were tons of people. Staff and people were friendly. Nothing to complain about. Things i were to complain would be the food and long waiting time. Food was expensive and may not be good to have - kind of boring. Queues were long but kind of expected. Fast pass was limited. Definitely better than Disney Sea. Would come again.","Written November 23, 2018",4.0 of 5 bubbles
1916,"Nice place, but TOO MANY PEOPLE!","I'm not so impressed.

(PS: It was my childhood dream, and I know that my third-grade self would be very happy.)

I only recommend Tokyo Disneyland if you really have free time. However, for beginners and first-timers, this is so far the child-friendliest Disney park I would ever recommend.

It's number of guests do compete with Metro Manila and Bangkok traffic congestions combined hehehe.","Written November 22, 2018",4.0 of 5 bubbles
1917,Very nice and spacious park,"This park is very spacious and when I went it looked like they were expanding. The Christmas parade was nice and the electrical parade was a little different but very nice as well. This park also has a lot of delicious treats as well as different attractions. Pooh's Honey Hunt was a very nice and different ride and is very popular. The lines to get into this park are also very long at park opening! The stores are also very busy, particularly at night making it hard to get around. The Haunted Mansion seems very similar to the one in Florida but at the time I went it was decked out for the holidays with Nightmare Before Christmas, this arrangement was very unique and enjoyable! The castle projection show was also very nice.","Written November 19, 2018",5.0 of 5 bubbles
1918,The place must go,"Great tourism place for family, lots of fun and beautiful evening show. Fireworks and the Disney show melt my heart.","Written November 7, 2018",5.0 of 5 bubbles
1919,Bucket list,Love Love Love. Don’t forget fast pass. Avoid national holidays as it’s busier then usual but regardless it’s full on with tourists of all nations. We stayed from 8.30am to 10.30pm.,"Written November 7, 2018",5.0 of 5 bubbles
1920,Great way to spend my birthday.,"A group of coworkers convinced me to go to Japan for a few days for my birthday and I spent the only full day we had at Disney. As a huge Disney fan I was not disappointed. The Haunted Mansion broke down on us, big surprise, and we were offers a free fast pass to any ride. I opted to keep the voucher as a souvenir since that was one of the last rides for us. I would highly recommend to anyone in Japan for a few days.","Written November 7, 2018",5.0 of 5 bubbles
1921,Magical,"Everything felt magical, starting from you ride the train to go there. And when you reach there, you will be welcomed by endless Disney songs.","Written November 4, 2018",5.0 of 5 bubbles
1922,Disney Land-Japanese Style.,"Wow, The most Magical place on Earth is also in Japan, Its cleaner, Its bigger (compared to Original) Its just so beautiful. The food is different, in taste, style & presentation is to die for.","Written November 4, 2018",5.0 of 5 bubbles
1923,best Disneyland,"Not my first time but the first with my whole family who loved the experience. It is the best Disneyland in the world, in my opinion. Good food (on the pricey side, but worth it), good shows, good attractions. Stay for the evening parade and fireworks (weather permitting).","Written November 3, 2018",5.0 of 5 bubbles
1924,"Very small, boring and boring","This is a miniature version of Disneyland, a poor copy. There are not many rides, events or things to do. The Disney character just stand around and wave since they cannot speak English. It is a very disappoint park if you are not Japanese","Written October 31, 2018",1.0 of 5 bubbles
1925,Still the most magical place,"Japan’s Disney resort is frankly a notch above the rest. In part because of their culture, and local population which simply makes visiting their parks such an enjoyable experience. Downside of course is everything is in Japanese. 😅
During Halloween, a lot of visitors come in costume, which adds to the atmosphere and fun.
Pro tip for rides, grab the fast pass for the popular rides like Winnie the Pooh first thing you enter. Simply enjoy the park and parades during the day, ride queues considerably shorten after 8pm, mainly as families with young kids would have left by then. But if you are visiting during school holidays when teenagers are the bulk...
Shopping doesn’t close until the last visitor has left, so if you do not want to go around with a big bag of shopping, leave that for the last when you are leaving. Do note that some merchandise may be available only in certain locations though.","Written October 28, 2018",5.0 of 5 bubbles
1926,great experience,what to say always good to visit disneyland this was out 3rd one in the world and i assume was great crowded as always and as usual huge line to the attractions but was really good . just missed some things in the stores that Paris disney and hong kong have much more different items.,"Written October 28, 2018",5.0 of 5 bubbles
1927,Beautiful Disney Park!,"If you are a Disney fan, you will love Tokyo Disneyland. So much is familiar, yet different at the same time. The attractions, of course, are amazing. I did not understand why Pooh's Honey Hunt was the biggest attraction... until I rode it! (seriously, do not miss this one, even if like us, you have no small children in tow). The ""Dreaming Up"" parade was so magical that this former Disneyland cast member cried... and ended up buying the audio CD!","Written October 27, 2018",5.0 of 5 bubbles
1928,Exceptionally fantastic. great time is guaranteed.,"You will have fun all the day. First you have to decide either going to Disney land or Disney sea. I think Disney land is the the first target, as it represents the traditional idea.
Please do Not miss any of the shows, around 3 shows / day. The evening show "" Electric parade "" is a dream show, a Must sea. Happy day -for all ages- will be - always - a lovely memory. Enojy.","Written October 27, 2018",5.0 of 5 bubbles
1929,Time machine,"Like a return by time machine, lots of fun activities and people around smile on their face,but only one thinks need more time to touch & keep all funny time in my memory","Written October 24, 2018",5.0 of 5 bubbles
1930,Best services,"Disneyland is a place where dreams come true, yes it is! Everyone had so much fun in there.

But for Moslem, is it Moslem friendly? The answer is yaaaas!

There is no Mosque in Tokyo Disneyland.
If you’re a Moslem and you want to pray (shalat) just ask to the tourism information centre, and yas! They will preparing a room for you to pray in the special room for 30 minutes. But, you must take ‘wudhu’ first in the nearby toilet and dont forget to bring your own moslem stuff for praying.","Written October 23, 2018",5.0 of 5 bubbles
1931,Magical,"Been to the other Disney parks and this one doesnt disappoint either. Its clean, cheerful, and busy. Maybe too busy for some but thats life. All in all a great place to visit.","Written October 19, 2018",5.0 of 5 bubbles
1932,Best experience,My childhood's dream become real. Be a princess for a whole day. Hehehehe.. I love the food especially the taste of the popcorn.,"Written October 17, 2018",5.0 of 5 bubbles
1933,Excellent!,"Friendly staff! Fast with service! Like their arrangement for service! Crowded but don’t need to wait too long time. Not enough for one day visit. The road show and light show is perfect! Unfortunately, they didn’t have the Disney signature fireworks which across over the castle.
Will go again!
Suggest to go earlier to the fast pass machine area to get your fast pass. You can skip the long queue with fast pass.","Written October 16, 2018",5.0 of 5 bubbles
1934,Not sure how I would rate this,"We spent 5 days in Disney California and to be honest could have spent more !!!

Disney Tokyo not sure how I feel ... I was careful to book as per their calendar and book a light day but when we arrived ( early) there was literally thousands of people and I mean thousands ... not sure they stop selling tickets ... we moved with the flood of people and it was difficult to really look at anything in the main area.

We spent up to an hour in line for each ride ( remember this was marked as a quiet day) and the kids felt the rides were all the same . Everything is in Japanese does not really cater for foreigners but was an experience.

I am such a fan of Disney so I loved the experience but would of been concerned if it was a super hot day as no cover at all.

As a ride fan family I would call it a soft park ... my kids prefer the adventure park experience and for what it cost us to do one day in a Tokyo we paid for 5 in the USA.

Still it’s an experience and we loved it but not sure if I had limited time in a Tokyo it would be a top 5 must do ..","Written October 9, 2018",3.0 of 5 bubbles
1935,Loved both Disneyland and Disney Sea,We went there for two days and it wasn’t enough. We were barely able to do most of the rides. We didn’t have time to do any of the shows. But we can do it the next time that we are there. I wish that there were character greetings like Jasmine and Aladdin. We loved seeing people dressed in cosplay costumes.,"Written October 7, 2018",5.0 of 5 bubbles
1936,Best Disneyland,"I have been to all the Disneylands and Tokyo Disney is my favorite. I visited Tokyo Disney when I was a teenager 30 years ago. It’s definitely been upgraded but still very orderly and fun! We took our two kids (teenager and 6 yr old) and they both loved it. They agreed it was better than HK Disney and Shanghai Disney even though Tokyo’s was more crowded. Perhaps it’s the immaculate lines and how people quietly wait for their turn in line. No one “cuts” the line here. The staff here were also very friendly and were all smiles.

Food was decent. We liked the pizza. The popcorn was good too. My 6 year old really wanted the plastic popcorn container of various Disney Characters that everyone had but at 2200 it was a bit pricey. The gift stores were unique with tons of Disney merchandise.

Overall, we had a fantastic time here!","Written October 6, 2018",5.0 of 5 bubbles
1937,It’s Disney,"We spent 1 day in Disneyland with 3 adults and one toddler. Everything was decorated for Halloween which was sort of cool. We rented a stroller for 1000 yen or roughly 10 USD for the whole day. If you need to leave the park you just take your name tag with you and when you return you can get another stroller to use. They had the Disney Halloween parade which was very nice. The park overall was a little more crowded that the Sea park, but everything was done in an orderly fashion Japanese style, and that made it nice. We didn’t really do too many rides because it was pretty crowded, but the ones we did we did with a fast pass. We wanted to go see Mickey and Minnie but the wait was a little too long for our toddler (2 yrs old) . We saw Minnie at Sea-park with only a 35 minute wait. I would go back without a toddler. It was just too crowded for her. But like any other Disney, it was still a lot of fun. After all it is Disney.","Written October 4, 2018",4.0 of 5 bubbles
1938,Fun for the kids. Countless throwbacks for the adults,I'd recommend this theme park for families with younger children. The attractions were very entertaining but weren't exciting enough for the thrill-seeking teenagers. We were here during the Japanese Golden Week so it was quite packed and the waiting lines were HUGE. Some of the rides did seem to be a let down after the massive wait but all in all were purpose built to entertain the younger generation.,"Written October 3, 2018",4.0 of 5 bubbles
1939,The happiest place on earth.,"I’ve been to Tokyo Disney Land more than 50 times since I’ve moved to Tokyo. There’s always something new going on! The themes of the park change starting from at the beginning of the year with “New Years” theme, then “Spring” theme, then “summer” theme, then “Halloween “ theme, and ending with “Christmas” theme. Every theme has a different parade that goes through the park and different shows on the Cinderella’s castle stage. Also, the park is decorated differently all over the park! The popcorn stands change the taste of the popcorn as well.","Written October 2, 2018",5.0 of 5 bubbles
1940,most of the shows (street parades) were cancelled,"due to inclement weather (really?) ok so there as sone rain but time after time they cancelled the shows, poor performance, even when the weather changed they still put on a temporary show of 3 floats which were just a huge joke. On the plus side some of the rides were really good, but typically you can only access fast passes in small numbers and queues everywhere in the sun were horrible.","Written October 1, 2018",1.0 of 5 bubbles
1941,Ok,"Ok, realy at the last minute, did bit go in, because l been in the two who Are in the USA, so l prefered to go some where else","Written September 26, 2018",4.0 of 5 bubbles
1942,Reminiscing my childhood days...,"Brought my family here to celebrate our eldest and 2nd girl's birthday. This place is really huge compare to Hong Kong Disneyland. Transport is easy accessible. The people are super friendly and approachable. You might want to reach there at least 1.5 hours before the opening time as the queue are super long regardless of which day you are going. Honestly, 1 day to spend at the park is not enough as mentioned it is super huge and you wouldn't want to miss rides or attractions. It's a must to stay until the park closes as there are night parades as well as fireworks. Overall was amazing and awesome. Can't wait to go visit to other Disneyland parks.","Written September 23, 2018",5.0 of 5 bubbles
1943,Fun day out,"Disneyland is lots of fun but be sure to make the most of the free fast pass as lines can get quite long.
Use the map as the place itself is not as well sign posted as other Disneyland’s are.
If you can go on a weekday as it gets very busy","Written September 9, 2018",4.0 of 5 bubbles
1944,A good representation of Disney,"Tokyo Disney is like California Disneyland, one of the happiest places on earth. I bought my tickets online for my daughter and myself and printed them out. Tokyo Disney is cheaper than Disneyland or Disneyworld. As a Disney lover, it was comforting to see most of the elements of Disneyland here. They are doing some construction for new attractions, probably in time for the 2020 Olympics. Japanese people seem like more avid Disney fans than Americans. If you have the time, I recommend going.","Written August 29, 2018",4.0 of 5 bubbles
1945,Disneyland Tokyo,I visited Disneyland on 24th August 2018. It’s the best time and it’s 35 happiest celebration of them. Everyone was wore anniversary shirt. I played a few base. It was too long and fully of people came.,"Written August 27, 2018",5.0 of 5 bubbles
1946,A fantastic end to my holiday!,"As I huge fan of Disney parks I really enjoyed my day at Tokyo Disney. It was hot and busy but I got there early and was able to get on several rides- using Fastpass for Big Thunder Mountain as the line was already v long at 8.30am. There were plenty of helpful cast members, and lots of tasty food on offer, although the popcorn lines got very long! If you want to go to the Queen of Hearts banquet hall try mid afternoon- there was no line at 4pm but the place was crazy at 11.30am! Make sure to try the lottery for the shows- I was lucky enough to get a front row seat for the superb 'One Man's Dream II!' The merchandise is also amazing so make sure to save time for shopping in the Emporium before the evening parades. A great day!","Written August 27, 2018",5.0 of 5 bubbles
1947,Once in a lifetime,"I’ll save all the praise and gratitude to how we had a wonderful day here, as there are more than enough online already. I just want to say that the one star off was for the parade. There’s just too many people and it’s impossible for young children to see anything at the back, nor is it humane to ask children to wait for hours to be in the front line.","Written August 15, 2018",4.0 of 5 bubbles
1948,Disneyland around the word!,"First international Disneyland and was impressed! Things are done over the top and adds the same Disney magic as the other parks in the US. Lines can be very long and hot, come prepared. Watched a show/parade on Main Street in front of the castle that was excellent! World bazaar with shops and restaurants as your first walk into the park is the unique part of this Disneyland (covered roof of it rains). Paired this with DisneySea, if you want to do one then you have to do both!","Written August 15, 2018",5.0 of 5 bubbles
1949,Childhood Dream came true !!,"Loved the place.
Most of the Asian visitors were wearing Disney characters' custom. A lot of things to do but in some games you have to wait in the queue for a very long time .
The restaurants does not offer variety of dishes. They need to offer Halal foods or vegan options.
Most of games are in Japanese.","Written July 24, 2018",5.0 of 5 bubbles
1950,fun family time,"We had a lot of fun It is less crowded than Disneyland in California, USA. Some of the rides are different. Star Tours was great! Space Montain is a roller coaster with three loops! And Indiana Jones is a coaster with one loop.","Written July 23, 2018",5.0 of 5 bubbles
1951,Great day out!,"A great day out for all ages. Have been there on school holidays and it was packed. Only got to go on about 5 rides because of the long cues. Second time I found out about express tickets that you can get a few hours in advance and then you don't need to wait in line. You can also get a cheaper ticket for just the evenings. They have some cool parades, illuminations and fireworks. The smoked turkey legs are amazing!!","Written July 23, 2018",5.0 of 5 bubbles
1952,Awesome Parks who designed well to entertain families...,"This park is awesome to entertain your family with themes from some famaous disney movies like pirates of caribbean...worth to visit specially at Summer time..You can use train, bus or taxi from tokyo where train is the cheapest way to get there","Written July 22, 2018",5.0 of 5 bubbles
1953,Great Fun,The park is spread out - but worth the heat and humidity. Again there was great customer service - and people there were very friendly. It is the 35 year anniversary so it was special.,"Written July 22, 2018",5.0 of 5 bubbles
1954,Never Old for Fun and Games,"My friend wanted to go, so said why not…Glad I did! I even got Minnie Mouse ears and wore them all day/night. Man, you are never too old to for fun and games. Although the rides, or rather, experiences, are in Japanese with some English, it was still a lot of fun. My favorite was the Starwars, the adventure continues episode ride/experience. The scene was so darn cool, even waiting in line was a blast. Lots of props, talking/moving animatronics to take pictures of. The experience is a 3D flight through space on a space vessel. Worth it. Ate at the Alice in Wonderland, Queen of Hearts of restaurant. Again, another cool scene with awesome décor, worthy of my camera. The park is huge, and although there aren’t many ride experiences for adults, kids would definitely enjoy it! There were too many parents with kids who will not remember the visit…parents were definitely there for themselves ^.^ Lots of young couples, great for fun, childish, but supper cute date.","Written July 22, 2018",5.0 of 5 bubbles
1955,Paradise for kids,"We spent 1 full day, 9 am to 10pm, and hardly finished half, so take at least 2 days pass to see it all. Very organized and the staff is very excited to help. A must place to be for all families with kids.
One advice, purchase the fast pass, you then don't need wait in Q as anyone else.","Written July 20, 2018",5.0 of 5 bubbles
1956,Awesome Disney Experience.,Has all of the main things you would expect from Disneyland in the States. Food more reasonable than in the States. As always great Disney service. Kids are already asking to go again!,"Written July 18, 2018",5.0 of 5 bubbles
1957,Fantasy land for children and adults,"Great representation of Disney’s characters with all the Color, Glamour and Glitz of the original Disney land in USA
Tokyo Disney land runs like a Swiss clock , the presentation of themes are out of this world. A must see is the Pirates of the Caribbean ride and the River Cruze. The attention to detail on the props are outstanding. There are no long lines in Tokyo , unlike Hong Kong Disney lines move faster than the indicated wait. Tokyo Disney land focuses on smaller but larger capacity rides such as the river boat , and the river cruise to prevent frustration and long waiting time. The end result is more value for money as a Day Pass means you could cover the park in 6-7 hours
This park suits children mainly under 12 and whilst there are faster rides the whole experience is stress free
A must see in Tokyo","Written July 15, 2018",4.0 of 5 bubbles
1958,Wonderful and clean resort,"We spent one saturday at Disneyland with one child age 6 and one teen. It was one of the hottest and most crowded days, but everything is so organized that it was still a good experience. Being jet-lagged we skipped the morning and opted for the «go on rides with shortest waiting-time tactic». It worked,and we managed to get 2 fastpasses even though it was 2pm and we took 10 rides. If you want to avoid lines for the restaurants,stay clear of eating between 12-13 and 18-19. On hot days choose afternoon/evening visit. Try the Star Wars dumplings, Mickey Waffels and the Queen of hearts/Alice in Wonderland buffet. Worth it! Also don’t miss the night-time spectacular at 20.00.","Written July 15, 2018",4.0 of 5 bubbles
1959,One day is not enough,"Seriously though, we don’t have enough time to explore all the attractions, the waiting line sometime waste a lot of time. The top rides like mountain splash, space mountain could took 30-90 minutes waiting time. But sure it was a wonderful day to be spend with your family. If you want satisfied enough to enjoy all the rides book 2 day ticket. And make it 3 day for another day at Disneysea.","Written July 13, 2018",5.0 of 5 bubbles
1960,Good place to have fun,"Great place. You only have to look lost for a second and a smiling friendly staff member will hasten over to help. Even if they were in the middle of cleaning up.
The only negative is the fast pass system which is a freezer time limited system. By the last ride it was quicker to wait in the normal line than it was to get a ""fast pass""
Keep that in mind when deciding on which rides to go on first.
All in all a good day","Written July 13, 2018",4.0 of 5 bubbles
1961,Amazing,"This really was where magic came to life!

Tokyo Disneyland is truly amazing..

Getting from akihabara to Disneyland was quite easy & very well sign posted. Once at the station, it’s a short walk to the entrance.

We brought our tickets at the park, and there was no line (we arrived around 10am.) Once inside it kinda takes your breath away!

All Staff was incredibly friendly & happy to help with anything.

I would advise to get fast passes as we waited over 1hr 30min for splash mountain (which was worth it)

Be prepared for a lot of smiling & waving, as every staff member you meet is waving at you ☺️. The night parade is definitely worth watching!!","Written July 13, 2018",5.0 of 5 bubbles
1962,Disneyland is DISNEYLAND!,"Honestly..
comparatively..
objectively..
nothing beats Disney Florida❤️
The rides were hair raising.. the variety is wider..

The one thing Disney excels everywhere would be the parade.. it was beautifully choreographed esp Wendy and Peter at the end🧚🏻‍♀️","Written July 12, 2018",4.0 of 5 bubbles
1963,AMAZING!,"So much fun for kids and adults alike. If you’re a big Disney lover, you must try it! It’s very similar to all other Disney parks of course, with the odd quirky Japanese touch. We went on a ‘quiet’ day however and queued for two hours for splash mountain! Get the fast pass tickets - we didn’t and we really should have done! Still managed to get on over 10 attractions and enjoy the day. Food is very pricey, take snacks!","Written July 9, 2018",5.0 of 5 bubbles
1964,It was fun!,"Disneyland is fun. I enjoyed it with my children. The fast passes help to skip waiting times on rides. I would have spent a longer day there, but my children were tired.","Written July 8, 2018",4.0 of 5 bubbles
1965,Tokyo Disneyland - Great time but where are the Character?,"If you been to other Disney properties, you will see a lot of people trying to get to an attraction with “I want to get in with less wait in line”. Well not here.

Everyone is very polite and orderly queing and make the most of it. The staff is very friendly and keep you happily occupied during your stay.

One time, this 1 person in front of me queing but needed to go to the restroom, and she asked the staff if she can go. What happen next was the staff stand holding all her bag in the que while she went to the restroom. The staff is happily doing this while chatting with other guest.

Can you imagine this in other Disney park?

This is what customer service is all about.

One thing that really bump us out is that Disney introduce this DUFFY characther that suppose to be Mickey’s teddy bear.

For Disney to introduce new characther is nothing new, but the eliminate almost all the merchandise (the main character) to focus on this new ones is silly.

We can hardly find a decent Mickey Mouse or Donald Duck T-shirt.

But again, you must visit this park just to tick the box on “Been There, Done That”.","Written July 2, 2018",4.0 of 5 bubbles
1966,The best Disney so far,"In Japan, you get Disneyland and Disneysea just beside each other. Very convenient and certainly recommend getting a 3 days pass. You choose which Disney you would like to go first 2 days and the last day it’s up to you to go both if you like. Great way to enjoy any missed or favorite rides again.

Like any Disney, always crowded but somehow felt much better compared to Disney Shanghai.

Apart from the great thrilling rides, must try’s are different popcorn flavors, and different chicken and turkey thighs.

As usual, family had a blast. Icing on the cake was winning a big Daisy Duck soft toy end of the last day.","Written July 1, 2018",5.0 of 5 bubbles
1967,"If you're in Tokyo, make sure to visit Disneyland!","This Disneyland is different from all the other ones, in how it is distinctly Japanese. You'll not be surprised by the rides or the environments, they are very similar to both Disneyland Paris and TMK Orlando, but the way they are run is vastly different. Everything is super clean and during the parades the staff make a great effort to ensure that people can walk around the park. Everyone is very service minded and staff will even ask if they can assist you in taking group photos. (Free of charge, group photos with your own phone etc.)","Written July 1, 2018",5.0 of 5 bubbles
1968,"A lot of people, nice castle","It was big and so mutch people. Long time to order some food. But it was nice. If you want to do some attraction its like 1-1,5 hours waiting time.","Written July 1, 2018",3.0 of 5 bubbles
1969,It's Disney in Japan!,"Tokyo Disneyland offers a classic, wonderful Disney experience in Tokyo. The rides and general experience is very similar to the Disneyland in California and Magic Kingdom in Orlando, except all customer service and shows are in Japanese. Original music is of course in English. Most cast members speak a little English, so that helps, for those who do not speak Japanese. Language was NOT an issue for English speakers. The park was clean, beautiful and classic Disney. It was a very special experience to go to Tokyo DIsneyland.","Written June 30, 2018",5.0 of 5 bubbles
